customer_id,full_name,first_name,last_name,age,age_category,email,email_domain,account_value,value_category,priority_score,processed_date
1,Lucas Rogers,Lucas,Rogers,27,Adult,lucas.rogers@hotmail.com,hotmail.com,202099.64,Premium,60,2025-07-16T14:15:08.399Z
2,Aaron Young,Aaron,Young,59,Middle Age,aaron.young@outlook.com,outlook.com,162372.11,Premium,60,2025-07-16T14:15:08.404Z
3,Taylor Marshall,Taylor,Marshall,70,Senior,taylor.marshall@yahoo.com,yahoo.com,150166.42,Premium,50,2025-07-16T14:15:08.405Z
4,Angela Long,Angela,Long,34,Adult,angela.long@enterprise.com,enterprise.com,195571.54,Premium,60,2025-07-16T14:15:08.405Z
5,Rachel Hall,Rachel,Hall,22,Young Adult,rachel.hall@enterprise.com,enterprise.com,218361.11,Premium,40,2025-07-16T14:15:08.406Z
6,Cameron Wilson,Cameron,Wilson,59,Middle Age,cameron.wilson@yahoo.com,yahoo.com,60706.48,Gold,60,2025-07-16T14:15:08.406Z
7,Caleb Morales,Caleb,Morales,46,Middle Age,caleb.morales@hotmail.com,hotmail.com,247653.58,Premium,60,2025-07-16T14:15:08.406Z
8,Faith Knight,Faith,Knight,62,Middle Age,faith.knight@company.com,company.com,231688.39,Premium,60,2025-07-16T14:15:08.407Z
9,William Mitchell,William,Mitchell,53,Middle Age,william.mitchell@yahoo.com,yahoo.com,209666.86,Premium,70,2025-07-16T14:15:08.407Z
10,Kimberly Edwards,Kimberly,Edwards,57,Middle Age,kimberly.edwards@enterprise.com,enterprise.com,39783.84,Silver,40,2025-07-16T14:15:08.408Z
11,Sharon Warren,Sharon,Warren,40,Adult,sharon.warren@hotmail.com,hotmail.com,22425.63,Silver,40,2025-07-16T14:15:08.408Z
12,Samantha Kelly,Samantha,Kelly,48,Middle Age,samantha.kelly@yahoo.com,yahoo.com,49304.06,Silver,50,2025-07-16T14:15:08.408Z
13,Tiffany Harrison,Tiffany,Harrison,47,Middle Age,tiffany.harrison@company.com,company.com,234567.83,Premium,60,2025-07-16T14:15:08.409Z
14,Garrett Rice,Garrett,Rice,66,Senior,garrett.rice@outlook.com,outlook.com,240360.1,Premium,40,2025-07-16T14:15:08.409Z
15,Katelyn Diaz,Katelyn,Diaz,41,Adult,katelyn.diaz@company.com,company.com,93860.35,Gold,50,2025-07-16T14:15:08.410Z
16,Caleb Ross,Caleb,Ross,27,Adult,caleb.ross@hotmail.com,hotmail.com,88383.18,Gold,50,2025-07-16T14:15:08.410Z
17,Stephanie King,Stephanie,King,50,Middle Age,stephanie.king@hotmail.com,hotmail.com,54466.16,Gold,50,2025-07-16T14:15:08.410Z
18,Lucas Cox,Lucas,Cox,67,Senior,lucas.cox@enterprise.com,enterprise.com,57118.99,Gold,30,2025-07-16T14:15:08.411Z
19,Katelyn Peterson,Katelyn,Peterson,39,Adult,katelyn.peterson@yahoo.com,yahoo.com,192672.37,Premium,70,2025-07-16T14:15:08.411Z
20,Cole Watson,Cole,Watson,22,Young Adult,cole.watson@yahoo.com,yahoo.com,63882.51,Gold,40,2025-07-16T14:15:08.411Z
21,Jasmine Rivera,Jasmine,Rivera,32,Adult,jasmine.rivera@outlook.com,outlook.com,143602.7,Premium,60,2025-07-16T14:15:08.412Z
