customer_id,full_name,first_name,last_name,age,age_category,email,email_domain,account_value,value_category,priority_score,processed_date
5001,Kimberly Crawford,Kimberly,Crawford,64,Middle Age,kimberly.crawford@outlook.com,outlook.com,248090.12,Premium,60,2025-07-11T00:23:13.867Z
5002,Sydney Clark,Sydney,Clark,42,Adult,sydney.clark@yahoo.com,yahoo.com,220484.19,Premium,70,2025-07-11T00:23:13.867Z
5003,Nicole Hicks,Nicole,Hicks,52,Middle Age,nicole.hicks@enterprise.com,enterprise.com,73683.71,Gold,50,2025-07-11T00:23:13.867Z
5004,Garrett Wright,Garrett,Wright,50,Middle Age,garrett.wright@yahoo.com,yahoo.com,41379.2,Silver,50,2025-07-11T00:23:13.867Z
5005,Kenneth Palmer,Kenneth,Palmer,51,Middle Age,kenneth.palmer@company.com,company.com,242595.93,Premium,60,2025-07-11T00:23:13.868Z
5006,Sarah Griffin,Sarah,Griffin,44,Adult,sarah.griffin@company.com,company.com,149679.75,Premium,60,2025-07-11T00:23:13.868Z
5007,Destiny Kennedy,Destiny,Kennedy,49,Middle Age,destiny.kennedy@company.com,company.com,195420.06,Premium,60,2025-07-11T00:23:13.868Z
5008,Melissa Cox,Melissa,Cox,66,Senior,melissa.cox@company.com,company.com,162242.52,Premium,40,2025-07-11T00:23:13.868Z
5009,Lucas Ramos,Lucas,Ramos,66,Senior,lucas.ramos@hotmail.com,hotmail.com,32016.79,Silver,20,2025-07-11T00:23:13.868Z
5010,Zachary Fisher,Zachary,Fisher,32,Adult,zachary.fisher@company.com,company.com,174852.13,Premium,60,2025-07-11T00:23:13.868Z
5011,Sydney King,Sydney,King,23,Young Adult,sydney.king@hotmail.com,hotmail.com,219949.45,Premium,40,2025-07-11T00:23:13.868Z
5012,David Nichols,David,Nichols,22,Young Adult,david.nichols@outlook.com,outlook.com,144025.24,Premium,40,2025-07-11T00:23:13.869Z
5013,Christina Peterson,Christina,Peterson,24,Young Adult,christina.peterson@company.com,company.com,230737.19,Premium,40,2025-07-11T00:23:13.869Z
5014,Brooke Warren,Brooke,Warren,52,Middle Age,brooke.warren@hotmail.com,hotmail.com,207252.47,Premium,60,2025-07-11T00:23:13.869Z
5015,Sean Webb,Sean,Webb,63,Middle Age,sean.webb@yahoo.com,yahoo.com,247457.06,Premium,70,2025-07-11T00:23:13.869Z
5016,Aaron Price,Aaron,Price,57,Middle Age,aaron.price@outlook.com,outlook.com,35858.55,Silver,40,2025-07-11T00:23:13.869Z
5017,Alexis Mason,Alexis,Mason,45,Middle Age,alexis.mason@outlook.com,outlook.com,139224.19,Premium,60,2025-07-11T00:23:13.869Z
5018,Michael Adams,Michael,Adams,55,Middle Age,michael.adams@company.com,company.com,24362.49,Silver,40,2025-07-11T00:23:13.870Z
5019,Nicole Henderson,Nicole,Henderson,32,Adult,nicole.henderson@outlook.com,outlook.com,163804.04,Premium,60,2025-07-11T00:23:13.871Z
5020,Jose Martinez,Jose,Martinez,69,Senior,jose.martinez@outlook.com,outlook.com,245302.53,Premium,40,2025-07-11T00:23:13.871Z
5021,Melissa Ortiz,Melissa,Ortiz,36,Adult,melissa.ortiz@hotmail.com,hotmail.com,78359.7,Gold,50,2025-07-11T00:23:13.871Z
5022,Devin James,Devin,James,33,Adult,devin.james@gmail.com,gmail.com,126065.15,Premium,70,2025-07-11T00:23:13.871Z
5023,Devin Watson,Devin,Watson,70,Senior,devin.watson@yahoo.com,yahoo.com,224988.99,Premium,50,2025-07-11T00:23:13.871Z
5024,Kyle Alexander,Kyle,Alexander,22,Young Adult,kyle.alexander@enterprise.com,enterprise.com,104535.41,Premium,40,2025-07-11T00:23:13.872Z
5025,Danielle Evans,Danielle,Evans,30,Adult,danielle.evans@yahoo.com,yahoo.com,222437.91,Premium,70,2025-07-11T00:23:13.872Z
5026,Anthony Cooper,Anthony,Cooper,52,Middle Age,anthony.cooper@outlook.com,outlook.com,35184.71,Silver,40,2025-07-11T00:23:13.872Z
5027,Patrick Cook,Patrick,Cook,41,Adult,patrick.cook@outlook.com,outlook.com,145893.44,Premium,60,2025-07-11T00:23:13.872Z
5028,Paige Roberts,Paige,Roberts,29,Adult,paige.roberts@yahoo.com,yahoo.com,130170.42,Premium,70,2025-07-11T00:23:13.872Z
5029,Daniel Torres,Daniel,Torres,60,Middle Age,daniel.torres@outlook.com,outlook.com,172461.97,Premium,60,2025-07-11T00:23:13.872Z
5030,Ashley Gonzales,Ashley,Gonzales,48,Middle Age,ashley.gonzales@gmail.com,gmail.com,219396.25,Premium,70,2025-07-11T00:23:13.872Z
5031,David Freeman,David,Freeman,55,Middle Age,david.freeman@hotmail.com,hotmail.com,18312.18,Silver,40,2025-07-11T00:23:13.873Z
5032,Kimberly Cook,Kimberly,Cook,26,Adult,kimberly.cook@company.com,company.com,145671.14,Premium,60,2025-07-11T00:23:13.873Z
5033,Paige Ford,Paige,Ford,34,Adult,paige.ford@outlook.com,outlook.com,205701.47,Premium,60,2025-07-11T00:23:13.873Z
5034,Danielle Simpson,Danielle,Simpson,49,Middle Age,danielle.simpson@yahoo.com,yahoo.com,80595.46,Gold,60,2025-07-11T00:23:13.873Z
5035,Nicholas Evans,Nicholas,Evans,33,Adult,nicholas.evans@yahoo.com,yahoo.com,224632.19,Premium,70,2025-07-11T00:23:13.873Z
5036,Devin Robertson,Devin,Robertson,36,Adult,devin.robertson@outlook.com,outlook.com,63443.5,Gold,50,2025-07-11T00:23:13.873Z
5037,Morgan Gibson,Morgan,Gibson,23,Young Adult,morgan.gibson@enterprise.com,enterprise.com,156168.33,Premium,40,2025-07-11T00:23:13.873Z
5038,Destiny Green,Destiny,Green,39,Adult,destiny.green@yahoo.com,yahoo.com,224440.26,Premium,70,2025-07-11T00:23:13.874Z
5039,Amy Stevens,Amy,Stevens,39,Adult,amy.stevens@enterprise.com,enterprise.com,226582.8,Premium,60,2025-07-11T00:23:13.874Z
5040,Tiffany Sullivan,Tiffany,Sullivan,23,Young Adult,tiffany.sullivan@enterprise.com,enterprise.com,58117.29,Gold,30,2025-07-11T00:23:13.874Z
5041,Andrew Ortiz,Andrew,Ortiz,64,Middle Age,andrew.ortiz@outlook.com,outlook.com,67873.86,Gold,50,2025-07-11T00:23:13.874Z
5042,Taylor Mcdonald,Taylor,Mcdonald,64,Middle Age,taylor.mcdonald@outlook.com,outlook.com,95506.7,Gold,50,2025-07-11T00:23:13.874Z
5043,Matthew Hunter,Matthew,Hunter,39,Adult,matthew.hunter@hotmail.com,hotmail.com,167145.96,Premium,60,2025-07-11T00:23:13.874Z
5044,Mariah Mason,Mariah,Mason,53,Middle Age,mariah.mason@hotmail.com,hotmail.com,152249.35,Premium,60,2025-07-11T00:23:13.874Z
5045,Morgan Robertson,Morgan,Robertson,27,Adult,morgan.robertson@gmail.com,gmail.com,121084.99,Premium,70,2025-07-11T00:23:13.875Z
5046,Jose Warren,Jose,Warren,65,Senior,jose.warren@yahoo.com,yahoo.com,73114.89,Gold,40,2025-07-11T00:23:13.875Z
5047,Danielle Carter,Danielle,Carter,63,Middle Age,danielle.carter@yahoo.com,yahoo.com,211863.37,Premium,70,2025-07-11T00:23:13.875Z
5048,Joshua Collins,Joshua,Collins,62,Middle Age,joshua.collins@hotmail.com,hotmail.com,231233.78,Premium,60,2025-07-11T00:23:13.875Z
5049,Adam Roberts,Adam,Roberts,62,Middle Age,adam.roberts@company.com,company.com,38015.44,Silver,40,2025-07-11T00:23:13.875Z
5050,Eric Bailey,Eric,Bailey,57,Middle Age,eric.bailey@enterprise.com,enterprise.com,165461.99,Premium,60,2025-07-11T00:23:13.875Z
5051,Anthony Clark,Anthony,Clark,25,Adult,anthony.clark@gmail.com,gmail.com,44103.38,Silver,50,2025-07-11T00:23:13.876Z
5052,Katelyn Torres,Katelyn,Torres,59,Middle Age,katelyn.torres@enterprise.com,enterprise.com,124091.54,Premium,60,2025-07-11T00:23:13.876Z
5053,Kimberly Sanders,Kimberly,Sanders,23,Young Adult,kimberly.sanders@outlook.com,outlook.com,156660.61,Premium,40,2025-07-11T00:23:13.876Z
5054,Brittany West,Brittany,West,32,Adult,brittany.west@outlook.com,outlook.com,64159.74,Gold,50,2025-07-11T00:23:13.876Z
5055,David Hill,David,Hill,32,Adult,david.hill@gmail.com,gmail.com,30785.11,Silver,50,2025-07-11T00:23:13.876Z
5056,Andrea Carter,Andrea,Carter,31,Adult,andrea.carter@gmail.com,gmail.com,162861.87,Premium,70,2025-07-11T00:23:13.876Z
5057,Mason Kelly,Mason,Kelly,27,Adult,mason.kelly@gmail.com,gmail.com,101726.93,Premium,70,2025-07-11T00:23:13.876Z
5058,Crystal Adams,Crystal,Adams,33,Adult,crystal.adams@outlook.com,outlook.com,123265.49,Premium,60,2025-07-11T00:23:13.877Z
5059,Patrick Reynolds,Patrick,Reynolds,56,Middle Age,patrick.reynolds@gmail.com,gmail.com,25433.43,Silver,50,2025-07-11T00:23:13.877Z
5060,Kelsey Hall,Kelsey,Hall,54,Middle Age,kelsey.hall@outlook.com,outlook.com,100184.38,Premium,60,2025-07-11T00:23:13.877Z
5061,Stephanie Lee,Stephanie,Lee,43,Adult,stephanie.lee@enterprise.com,enterprise.com,76880.19,Gold,50,2025-07-11T00:23:13.877Z
5062,Paige Wood,Paige,Wood,36,Adult,paige.wood@enterprise.com,enterprise.com,142650.73,Premium,60,2025-07-11T00:23:13.877Z
5063,Cameron Jordan,Cameron,Jordan,41,Adult,cameron.jordan@gmail.com,gmail.com,20059.11,Silver,50,2025-07-11T00:23:13.877Z
5064,Gabrielle Edwards,Gabrielle,Edwards,28,Adult,gabrielle.edwards@hotmail.com,hotmail.com,84146.25,Gold,50,2025-07-11T00:23:13.877Z
5065,Blake Crawford,Blake,Crawford,58,Middle Age,blake.crawford@yahoo.com,yahoo.com,58577.43,Gold,60,2025-07-11T00:23:13.878Z
5066,Matthew Brooks,Matthew,Brooks,38,Adult,matthew.brooks@company.com,company.com,116108.07,Premium,60,2025-07-11T00:23:13.878Z
5067,Brittany Foster,Brittany,Foster,64,Middle Age,brittany.foster@company.com,company.com,33847.53,Silver,40,2025-07-11T00:23:13.878Z
5068,Colin Campbell,Colin,Campbell,48,Middle Age,colin.campbell@enterprise.com,enterprise.com,116491.04,Premium,60,2025-07-11T00:23:13.878Z
5069,Logan Mason,Logan,Mason,55,Middle Age,logan.mason@hotmail.com,hotmail.com,224638.85,Premium,60,2025-07-11T00:23:13.878Z
5070,Natalie James,Natalie,James,39,Adult,natalie.james@outlook.com,outlook.com,123729.78,Premium,60,2025-07-11T00:23:13.878Z
5071,Natalie Hunt,Natalie,Hunt,40,Adult,natalie.hunt@enterprise.com,enterprise.com,129231.66,Premium,60,2025-07-11T00:23:13.878Z
5072,Ian Rogers,Ian,Rogers,31,Adult,ian.rogers@company.com,company.com,105861.44,Premium,60,2025-07-11T00:23:13.879Z
5073,Logan Cox,Logan,Cox,50,Middle Age,logan.cox@outlook.com,outlook.com,198817.46,Premium,60,2025-07-11T00:23:13.879Z
5074,Andrea Owens,Andrea,Owens,54,Middle Age,andrea.owens@company.com,company.com,233060.52,Premium,60,2025-07-11T00:23:13.879Z
5075,Brandon Roberts,Brandon,Roberts,33,Adult,brandon.roberts@company.com,company.com,196657,Premium,60,2025-07-11T00:23:13.879Z
5076,Mariah Nelson,Mariah,Nelson,23,Young Adult,mariah.nelson@enterprise.com,enterprise.com,127955.55,Premium,40,2025-07-11T00:23:13.879Z
5077,Robert Nelson,Robert,Nelson,32,Adult,robert.nelson@gmail.com,gmail.com,138362.93,Premium,70,2025-07-11T00:23:13.879Z
